"effect","model","estimand","adjusted","adjusted_se","condition","descriptive","descriptive_min","descriptive_max","n_classes"
"altX_gender_m_fd","model_1","accumulated",0.0108638618311441,0.0241365936359578,"alter is male",0.00250594249805952,-0.104312668463612,0.109547680894095,17
"altX_gender_m_fd","model_1","dynamic",0.00243811998967519,0.00529388029946103,"alter is male",0.00250594249805952,-0.104312668463612,0.109547680894095,17
"altX_gender_m_fd","model_1","static",0.00328966153818086,0.00529808345321143,"alter is male",0.00250594249805952,-0.104312668463612,0.109547680894095,17
"altX_gender_m_fd","model_2","accumulated",-0.00160569116685154,0.0187035604741089,"alter is male",0.00250594249805952,-0.104312668463612,0.109547680894095,17
"altX_gender_m_fd","model_2","dynamic",-0.000552808607990682,0.00326336520243931,"alter is male",0.00250594249805952,-0.104312668463612,0.109547680894095,17
"altX_gender_m_fd","model_2","static",-2.57599626463871e-06,0.00347710383344131,"alter is male",0.00250594249805952,-0.104312668463612,0.109547680894095,17
"altX_gender_m_fd","model_3","accumulated",0.00729116072310892,0.0201164137703907,"alter is male",0.00250594249805952,-0.104312668463612,0.109547680894095,17
"altX_gender_m_fd","model_3","dynamic",0.00134537973047456,0.00359175085704626,"alter is male",0.00250594249805952,-0.104312668463612,0.109547680894095,17
"altX_gender_m_fd","model_3","static",0.00147523890085173,0.00373697538476194,"alter is male",0.00250594249805952,-0.104312668463612,0.109547680894095,17
"altX_gender_m_fd","model_4","accumulated",0.0131957904618747,0.0236743824758812,"alter is male",0.00250594249805952,-0.104312668463612,0.109547680894095,17
"altX_gender_m_fd","model_4","dynamic",0.00267686236801762,0.00468195184492548,"alter is male",0.00250594249805952,-0.104312668463612,0.109547680894095,17
"altX_gender_m_fd","model_4","static",0.0037110436253142,0.00488801235225784,"alter is male",0.00250594249805952,-0.104312668463612,0.109547680894095,17
"altX_gender_m_fd","model_5","accumulated",0.00303729080200129,0.0174872350503001,"alter is male",0.00250594249805952,-0.104312668463612,0.109547680894095,17
"altX_gender_m_fd","model_5","dynamic",0.000634949664875257,0.00364103530925736,"alter is male",0.00250594249805952,-0.104312668463612,0.109547680894095,17
"altX_gender_m_fd","model_5","static",0.00070369923791199,0.00371721124683412,"alter is male",0.00250594249805952,-0.104312668463612,0.109547680894095,17
"egoX_gender_m_fd","model_1","accumulated",-0.0125332607730303,0.0123375209732216,"ego is male",-0.00561985250540268,-0.0943043884220355,0.076140350877193,17
