"est","se","ci_low","ci_high","effect","model","class_id","pval","tau2","QEp","k","method"
0.476183173936659,0.0192397281966654,0.438473999598855,0.513892348274463,"recip_fd","model_0","Summary",3.10068268211452e-135,0.00543722957004428,4.07068869960004e-56,17,"REML"
0.482858510352927,0.0195910074837314,0.444460841263959,0.521256179441896,"recip_fd","model_2","Summary",3.96829492168815e-134,0.00551127619061854,2.24642967167921e-40,17,"REML"
0.460462763174981,0.017854806401944,0.425467985676236,0.495457540673727,"recip_fd","model_3","Summary",1.16936427913398e-146,0.00510616347359089,6.31180694527955e-66,17,"REML"
0.474278143423137,0.0182883946867988,0.438433548501958,0.510122738344316,"recip_fd","model_4","Summary",2.80715041592405e-148,0.00538681153098944,9.88820914122042e-75,17,"REML"
0.215530165364135,0.0146913939136411,0.186735562410708,0.244324768317563,"transTrip1_fd","model_0","Summary",9.96012545113204e-49,0.00345512590542263,0,17,"REML"
0.221607899312621,0.0142889281228031,0.193602114814245,0.249613683810997,"transTrip1_fd","model_2","Summary",3.01238586641821e-54,0.00337057079314984,0,17,"REML"
0.220193582216462,0.0141746910295152,0.19241169830663,0.247975466126295,"transTrip1_fd","model_3","Summary",2.03351514299364e-54,0.0033760753966041,0,17,"REML"
-0.0569809744977206,0.0250586589365765,-0.106095043514283,-0.00786690548115788,"interaction_sd","model_0","Summary",0.022971783856619,0.00924762104644286,3.46187577260988e-51,17,"REML"
-0.0741512473211683,0.02737411503428,-0.127803526897014,-0.020498967745323,"interaction_sd","model_2","Summary",0.00675252142904864,0.0109254787229318,1.87499788249433e-38,17,"REML"
0.356820951854522,0.0287691513581664,0.300434451326734,0.413207452382309,"X_primary","model_1","Summary",2.52029230385228e-35,0.0134257143023806,1.10673723296209e-101,17,"REML"
0.35558644481613,0.0285699334283045,0.299590404255946,0.411582485376313,"X_primary","model_2","Summary",1.46705870152107e-35,0.0130871183183471,8.20649466957996e-79,17,"REML"
0.352908906278906,0.0290616963648735,0.295949028074115,0.409868784483697,"X_primary","model_3","Summary",6.21583639278211e-34,0.0136985624313564,5.73570753183478e-110,17,"REML"
0.36020903351416,0.0290659102428063,0.303240896260386,0.417177170767934,"X_primary","model_4","Summary",2.85759027964548e-35,0.0137012338404025,7.10409753042187e-108,17,"REML"
0.357010350195562,0.0292131792974073,0.299753570898733,0.414267129492392,"X_primary","model_5","Summary",2.4050885006536e-34,0.0138795660967112,2.82382000932823e-102,17,"REML"
0.00509384744232775,0.010026449385734,-0.0145576322465247,0.0247453271311802,"egoX_gender_m_fd","model_1","Summary",0.611424585430038,0.00166521551377198,2.23443094537757e-139,17,"REML"
0.00543292154467542,0.0098997830561285,-0.0139702967000963,0.0248361397894471,"egoX_gender_m_fd","model_2","Summary",0.583148214780293,0.00161852309562677,1.98477232711268e-120,17,"REML"
0.0050044639380438,0.00992234953496497,-0.0144429837925053,0.0244519116685929,"egoX_gender_m_fd","model_3","Summary",0.614006458105634,0.00163195023519396,7.91465325480449e-136,17,"REML"
0.00479241790739156,0.00992444916127382,-0.0146591450151039,0.024243980829887,"egoX_gender_m_fd","model_4","Summary",0.629173795906617,0.00163602210760475,6.09287914110606e-169,17,"REML"
0.00485521038283298,0.00993085280969473,-0.0146089034599371,0.0243193242256031,"egoX_gender_m_fd","model_5","Summary",0.624911323342753,0.00163423594899628,4.03884326469949e-150,17,"REML"
0.00923822633490969,0.00964803592994862,-0.00967157660933802,0.0281480292791574,"altX_gender_m_fd","model_1","Summary",0.338302818801328,0.00152056688021482,2.36711203909217e-85,17,"REML"
0.00962343973955994,0.00949423240958165,-0.00898491384407303,0.0282317933231929,"altX_gender_m_fd","model_2","Summary",0.310769345317433,0.0014691122858349,4.667320011497e-88,17,"REML"
0.00949837935469849,0.00953817216354626,-0.00919609456419467,0.0281928532735916,"altX_gender_m_fd","model_3","Summary",0.319333700524211,0.001490407627009,6.14055766662676e-89,17,"REML"
0.00951895252390929,0.00963844826680942,-0.00937205894588968,0.0284099639937083,"altX_gender_m_fd","model_4","Summary",0.32334751802864,0.00152035407602071,7.46221187495988e-92,17,"REML"
0.0100440584314425,0.0103074185954235,-0.0101581107891659,0.030246227652051,"altX_gender_m_fd","model_5","Summary",0.329833424256269,0.00174366624774146,2.34890404413638e-94,17,"REML"
0.517978520066526,0.0237340831330349,0.471460571919698,0.564496468213354,"egoXaltX_gender_m_sd","model_1","Summary",1.36564840527888e-105,0.00931384055497685,3.93258337371721e-122,17,"REML"
0.511797111618993,0.0231995962636039,0.466326738486459,0.557267484751526,"egoXaltX_gender_m_sd","model_2","Summary",7.55667528558846e-108,0.00876666951101054,9.24617154730735e-105,17,"REML"
0.507966161596932,0.022466900609803,0.463931845557477,0.552000477636387,"egoXaltX_gender_m_sd","model_3","Summary",3.49203072547183e-113,0.00834056831612249,2.53063424177057e-125,17,"REML"
0.518084382320298,0.0231885737213619,0.472635612973577,0.56353315166702,"egoXaltX_gender_m_sd","model_4","Summary",1.43697339652314e-110,0.00889717625560964,6.48275073098315e-131,17,"REML"
0.473345122581564,0.0211454761757003,0.431900750841241,0.514789494321886,"egoXaltX_gender_m_sd","model_5","Summary",5.48932470659273e-111,0.00753656421702091,0,17,"REML"
