"est","se","ci_low","ci_high","effect","model","class_id","pval","tau2","QEp","k","method"
0.0728035656985282,0.00700380570245337,0.0590763587670033,0.086530772630053,"recip_fd","model_0","Summary",2.61676437224137e-25,0.000151397975284898,0.369503789076579,17,"REML"
0.0565283356924907,0.00614120625466043,0.0444917926117241,0.0685648787732573,"recip_fd","model_2","Summary",3.42432481746902e-20,0,0.60284128960685,17,"REML"
0.0417759921530387,0.00413718780094291,0.0336672530659121,0.0498847312401652,"recip_fd","model_3","Summary",5.65653935153021e-24,8.81910222897542e-05,0.0510902532409218,17,"REML"
0.0477451708102704,0.00479620574796485,0.0383447802818153,0.0571455613387255,"recip_fd","model_4","Summary",2.4035502430151e-23,0.000157746400298881,0.0230384686250852,17,"REML"
0.0192689097642467,0.00142314843204728,0.0164795900927793,0.022058229435714,"transTrip1_fd","model_0","Summary",9.12416301196879e-42,9.32429997502495e-06,0.387193222187202,17,"REML"
0.0175653222425059,0.00122365791809098,0.0151669967936503,0.0199636476913614,"transTrip1_fd","model_2","Summary",9.94616394022947e-47,0,0.852968060716904,17,"REML"
0.016743347732088,0.00115641226859849,0.0144768213343547,0.0190098741298213,"transTrip1_fd","model_3","Summary",1.65188996941637e-47,0,0.838111135353622,17,"REML"
-0.010494930064359,0.00622742777167257,-0.0227004642131618,0.00171060408444375,"interaction_sd","model_0","Summary",0.0919354733059776,0,0.998477888233396,17,"REML"
-0.0117692278480963,0.00632362669796839,-0.0241633084277903,0.000624852731597642,"interaction_sd","model_2","Summary",0.0627227732959928,0,0.997068853493923,17,"REML"
0.031101032748709,0.00445106085322759,0.0223771137833868,0.0398249517140312,"X_primary","model_1","Summary",2.80165959697896e-12,7.32809021240556e-05,0.210795764238535,17,"REML"
0.0202809251470808,0.00301845334799204,0.014364865296002,0.0261969849981595,"X_primary","model_2","Summary",1.83002074447433e-11,0,0.724519576067681,17,"REML"
0.0205625535124264,0.00317291600399472,0.014343752418626,0.0267813546062268,"X_primary","model_3","Summary",9.13291822383125e-11,0,0.789528578835285,17,"REML"
0.0220223829011696,0.00336598304951977,0.0154251773515385,0.0286195884508006,"X_primary","model_4","Summary",6.04461039515501e-11,0,0.521084364894516,17,"REML"
0.0199385075391066,0.00379694327862457,0.012496635461661,0.0273803796165522,"X_primary","model_5","Summary",1.51111709417958e-07,3.67370340092001e-05,0.219082288433819,17,"REML"
-0.00253515964820163,0.00227520447927187,-0.0069944784850387,0.00192415918863543,"egoX_gender_m_fd","model_1","Summary",0.265169489303694,4.19643201502342e-05,0.0118845713016585,17,"REML"
-0.00316014848116644,0.00185186346131048,-0.00678973416962066,0.000469437207287786,"egoX_gender_m_fd","model_2","Summary",0.0879207036765002,4.77732532038612e-06,0.32438142407782,17,"REML"
-0.00203570093157194,0.00186132878877189,-0.0056838383209524,0.00161243645780853,"egoX_gender_m_fd","model_3","Summary",0.274094674323167,1.15279647478555e-05,0.20570119061288,17,"REML"
-0.00261878682644021,0.00214727100676698,-0.00682736066475055,0.00158978701187012,"egoX_gender_m_fd","model_4","Summary",0.222620943364161,3.52495999517283e-05,0.0187109521438363,17,"REML"
-0.00254622186187597,0.00186574223756594,-0.00620300945194038,0.00111056572818843,"egoX_gender_m_fd","model_5","Summary",0.172340040554494,1.89540207662753e-05,0.0878031604622278,17,"REML"
0.00328966153818086,0.00529808345321143,-0.00709439121720114,0.0136737142935629,"altX_gender_m_fd","model_1","Summary",0.534655296511775,0.000276112220946072,0.000427090127685841,17,"REML"
-2.57599626463871e-06,0.00347710383344131,-0.00681757428031577,0.00681242228778649,"altX_gender_m_fd","model_2","Summary",0.999408890974017,7.9363556154128e-05,0.0386370133004829,17,"REML"
0.00147523890085173,0.00373697538476194,-0.00584909826439439,0.00879957606609785,"altX_gender_m_fd","model_3","Summary",0.693013994188089,0.000115975029276977,0.0098911106443097,17,"REML"
0.0037110436253142,0.00488801235225784,-0.00586928454109808,0.0132913717917265,"altX_gender_m_fd","model_4","Summary",0.447725015703409,0.000232112604479638,0.000718838563425167,17,"REML"
0.00070369923791199,0.00371721124683412,-0.00658190092881012,0.0079892994046341,"altX_gender_m_fd","model_5","Summary",0.849851128072685,0.000143856682697787,0.000164741337833688,17,"REML"
0.0859878057595686,0.00790381513541935,0.0704966127536841,0.101478998765453,"egoXaltX_gender_m_sd","model_1","Summary",1.44703823440325e-27,0.000577558632828619,0.0021497387258008,17,"REML"
0.035272184879482,0.00614206508025907,0.0232339585314731,0.0473104112274909,"egoXaltX_gender_m_sd","model_2","Summary",9.31654832974691e-09,0.000186674176835679,0.114634980512506,17,"REML"
0.0428329292832737,0.00623950780875396,0.0306037186968595,0.0550621398696879,"egoXaltX_gender_m_sd","model_3","Summary",6.65877554347337e-12,0.000251447269120067,0.0408483394867494,17,"REML"
0.0655807300902963,0.00746124088351121,0.0509569666786365,0.0802044935019561,"egoXaltX_gender_m_sd","model_4","Summary",1.50199570486076e-18,0.000489983749648649,0.0035204067880956,17,"REML"
9.95285146402052e-05,0.000175759460820519,-0.00024495369851019,0.000444010727790601,"egoXaltX_gender_m_sd","model_5","Summary",0.571205591897189,8.50078226979417e-08,0.885175091545256,17,"REML"
