"est","se","ci_low","ci_high","effect","model","class_id","pval","tau2","QEp","k","method"
0.385507476617045,0.0427192291308718,0.301779326073222,0.469235627160868,"recip_fd","model_0","Summary",1.8098951399211e-19,0.00495309709800463,0.566559063734413,17,"REML"
0.302129376310265,0.0407071331222364,0.222344861476804,0.381913891143725,"recip_fd","model_2","Summary",1.15342678788336e-13,0.00293450606922624,0.572916192240921,17,"REML"
0.222935463114358,0.0250438508528784,0.173850417408524,0.272020508820192,"recip_fd","model_3","Summary",5.49460075514962e-19,0.00205892801085173,0.148496635087218,17,"REML"
0.238982288251683,0.0276994067449791,0.184692448638398,0.293272127864968,"recip_fd","model_4","Summary",6.25957073309209e-18,0.00440368233848194,0.0600366314314929,17,"REML"
0.108200392915445,0.00959123124260631,0.0894019251125417,0.126998860718349,"transTrip1_fd","model_0","Summary",1.6255334782859e-29,0.000590486564345398,0.0626450739088428,17,"REML"
0.10474237419287,0.00795979315901128,0.0891414662768192,0.12034328210892,"transTrip1_fd","model_2","Summary",1.51208780325648e-39,0,0.593709205905715,17,"REML"
0.093945946690001,0.00753143926900697,0.0791845969709966,0.108707296409005,"transTrip1_fd","model_3","Summary",1.0370918931033e-35,7.9719359996784e-07,0.610566735082476,17,"REML"
-0.0702045511675427,0.0375464071199002,-0.143794156871425,0.00338505453633989,"interaction_sd","model_0","Summary",0.0615105636095597,0,0.996448311068511,17,"REML"
-0.0703066297740079,0.0386814817870971,-0.14612094094536,0.00550768139734442,"interaction_sd","model_2","Summary",0.0691285796778907,0,0.996862949645575,17,"REML"
0.142887839739809,0.0231079214059146,0.0975971460266345,0.188178533452984,"X_primary","model_1","Summary",6.26956008873075e-10,0.00241138105803794,0.154862645102379,17,"REML"
0.10376822051557,0.0175696477268293,0.0693323437499283,0.138204097281211,"X_primary","model_2","Summary",3.50286377767303e-09,0,0.538368118874142,17,"REML"
0.109572085678821,0.0185256560619172,0.0732624670074869,0.145881704350155,"X_primary","model_3","Summary",3.32656849088166e-09,6.67097698279551e-07,0.668428954840086,17,"REML"
0.106442013896117,0.0191402908695242,0.0689277331382287,0.143956294654005,"X_primary","model_4","Summary",2.68003895281847e-08,0.000493913527830294,0.392742592046022,17,"REML"
0.0908611398496409,0.0202213160036025,0.0512280887625766,0.130494190936705,"X_primary","model_5","Summary",7.01164679783815e-06,0.00165936250240335,0.126771529470627,17,"REML"
-0.0125332607730303,0.0123375209732216,-0.0367143575390521,0.0116478359929916,"egoX_gender_m_fd","model_1","Summary",0.309693483673067,0.00133089542453812,0.00588489201616663,17,"REML"
-0.0275686343193464,0.0119507134421002,-0.0509916022554215,-0.0041456663832714,"egoX_gender_m_fd","model_2","Summary",0.0210625723704825,0.000289452140143475,0.287954542779839,17,"REML"
-0.0145238261881908,0.0120198670574709,-0.0380823327197932,0.00903468034341168,"egoX_gender_m_fd","model_3","Summary",0.226924824541338,0.000567709837116603,0.167267761034518,17,"REML"
-0.0153362770336055,0.0130731563290034,-0.0409591926027141,0.010286638535503,"egoX_gender_m_fd","model_4","Summary",0.24075088063928,0.00135652058031094,0.0164782204310401,17,"REML"
-0.0156176738608386,0.0107119709347764,-0.0366127510964401,0.00537740337476299,"egoX_gender_m_fd","model_5","Summary",0.144850315156233,0.000601048120052178,0.0941077139973042,17,"REML"
0.0108638618311441,0.0241365936359578,-0.0364429924048119,0.0581707160671001,"altX_gender_m_fd","model_1","Summary",0.652638903320819,0.00476394431040465,0.00279913327765596,17,"REML"
-0.00160569116685154,0.0187035604741089,-0.038263996078772,0.0350526137450689,"altX_gender_m_fd","model_2","Summary",0.931586062679045,0.0020972491984353,0.0651735812717708,17,"REML"
0.00729116072310892,0.0201164137703907,-0.0321362857649625,0.0467186072111804,"altX_gender_m_fd","model_3","Summary",0.717017023493263,0.00312697927583247,0.0133022885577343,17,"REML"
0.0131957904618747,0.0236743824758812,-0.0332051465470787,0.0595967274708281,"altX_gender_m_fd","model_4","Summary",0.577263119558617,0.00457476849859999,0.00361901075829337,17,"REML"
0.00303729080200129,0.0174872350503001,-0.0312370600857733,0.0373116416897759,"altX_gender_m_fd","model_5","Summary",0.862112110557488,0.0030676697770385,0.000713585313029219,17,"REML"
0.414146773265558,0.0473490257346987,0.321344388122488,0.506949158408627,"egoXaltX_gender_m_sd","model_1","Summary",2.19721786786386e-18,0.02293959219922,5.35089888598506e-05,17,"REML"
0.205807836325966,0.0442999536706794,0.118981522614642,0.292634150037291,"egoXaltX_gender_m_sd","model_2","Summary",3.38793996732695e-06,0.0158137531245167,0.0111955262447447,17,"REML"
0.253127212612515,0.0434071380749448,0.168050785313666,0.338203639911364,"egoXaltX_gender_m_sd","model_3","Summary",5.49427904409633e-09,0.0165533284066671,0.003201569031357,17,"REML"
0.344049326289907,0.0451593361740722,0.255538653822988,0.432559998756825,"egoXaltX_gender_m_sd","model_4","Summary",2.56511826804727e-14,0.0190138887935204,0.000808072161362742,17,"REML"
0.000215461764252077,0.000860531205433445,-0.00147114840597031,0.00190207193447447,"egoXaltX_gender_m_sd","model_5","Summary",0.802291732668815,3.03074962572049e-06,0.818937697727016,17,"REML"
