"est","se","ci_low","ci_high","effect","model","class_id","pval","tau2","QEp","k","method"
0.0672589992649697,0.00744061626778168,0.0526756593573347,0.0818423391726046,"recip_fd","model_0","Summary",1.57477446734765e-19,0.00021703982356213,0.323990179566107,17,"REML"
0.0510500559091308,0.00641370096454128,0.0384794330110201,0.0636206788072415,"recip_fd","model_2","Summary",1.72691675216913e-15,6.8700673941435e-05,0.49123211972439,17,"REML"
0.0395053385060394,0.00418643293359259,0.0313000807325056,0.0477105962795732,"recip_fd","model_3","Summary",3.85382945608942e-21,8.27600875893615e-05,0.075993007329049,17,"REML"
0.0461885044408697,0.00504771875555701,0.0362951574758906,0.0560818514058488,"recip_fd","model_4","Summary",5.67378207022093e-20,0.000163481074564919,0.0350207062261412,17,"REML"
0.0192278116831401,0.00112641929521219,0.0170200704330332,0.021435552933247,"transTrip1_fd","model_0","Summary",2.48825986690751e-65,5.69382233804831e-07,0.298268573329814,17,"REML"
0.0176955164756476,0.00117321087950715,0.015396065405543,0.0199949675457522,"transTrip1_fd","model_2","Summary",2.09590837874012e-51,0,0.854906852926689,17,"REML"
0.0161975221919021,0.00109823939224969,0.0140450125366895,0.0183500318471146,"transTrip1_fd","model_3","Summary",3.13991717835028e-49,0,0.822129866632485,17,"REML"
-0.0123734577865521,0.00637744318248887,-0.0248730167376808,0.000126101164576595,"interaction_sd","model_0","Summary",0.0523564833937702,0,0.99920796560752,17,"REML"
-0.0128600335989614,0.00653642337685023,-0.0256711880052936,-4.88791926293291e-05,"interaction_sd","model_2","Summary",0.0491322813134273,0,0.998942252645934,17,"REML"
0.0300785900904486,0.00433747281431351,0.0215772995904726,0.0385798805904247,"X_primary","model_1","Summary",4.07404636720305e-12,6.34120679256816e-05,0.242624930647426,17,"REML"
0.019647766551954,0.00301492036105394,0.0137386312280318,0.0255569018758762,"X_primary","model_2","Summary",7.18018893570891e-11,0,0.744515266228694,17,"REML"
0.0197890383449781,0.00308749661965117,0.0137376561680726,0.0258404205218835,"X_primary","model_3","Summary",1.46081793945761e-10,0,0.8153805711363,17,"REML"
0.0214221223679712,0.00331196022147815,0.0149307996156447,0.0279134451202976,"X_primary","model_4","Summary",9.92363822761617e-11,0,0.556885228940946,17,"REML"
0.019553377115832,0.00371579871788574,0.0122705454549758,0.0268362087766881,"X_primary","model_5","Summary",1.42320734209133e-07,3.24346153029415e-05,0.249662802036461,17,"REML"
-0.00268199838029522,0.00261066229098479,-0.00779880244642224,0.0024348056858318,"egoX_gender_m_fd","model_1","Summary",0.304267500693633,5.88613694955836e-05,0.00620335463743513,17,"REML"
-0.00447743658597216,0.00228792796669442,-0.00896169299991518,6.81982797084719e-06,"egoX_gender_m_fd","model_2","Summary",0.0503494439689122,1.86965026120187e-05,0.257065829414692,17,"REML"
-0.00233903826981004,0.00215641641499621,-0.00656553677887359,0.0018874602392535,"egoX_gender_m_fd","model_3","Summary",0.278060016221174,2.04355144903923e-05,0.155302133120755,17,"REML"
-0.00297174378591503,0.00255663062893106,-0.00798264774039189,0.00203916016856183,"egoX_gender_m_fd","model_4","Summary",0.245086308853216,5.26353161667172e-05,0.012213156708405,17,"REML"
-0.00312656989290053,0.00228003620680464,-0.00759535874168494,0.00134221895588388,"egoX_gender_m_fd","model_5","Summary",0.170287435950996,2.94505643134038e-05,0.079368849746137,17,"REML"
0.00243811998967519,0.00529388029946103,-0.00793769473573454,0.0128139347150849,"altX_gender_m_fd","model_1","Summary",0.645118316802533,0.000245694751224284,0.00227371903839644,17,"REML"
-0.000552808607990682,0.00326336520243931,-0.00694888687317298,0.00584326965719162,"altX_gender_m_fd","model_2","Summary",0.865483338793842,5.810361871422e-05,0.0680950211627337,17,"REML"
0.00134537973047456,0.00359175085704626,-0.00569432259077698,0.0083850820517261,"altX_gender_m_fd","model_3","Summary",0.707976640484335,0.000103838715275752,0.0135962805811865,17,"REML"
0.00267686236801762,0.00468195184492548,-0.00649959462538717,0.0118533193614224,"altX_gender_m_fd","model_4","Summary",0.567497665092581,0.000185564672914788,0.00478494388737214,17,"REML"
0.000634949664875257,0.00364103530925736,-0.00650134840770784,0.00777124773745835,"altX_gender_m_fd","model_5","Summary",0.861561235231185,0.000134101806604981,0.000476497996360854,17,"REML"
0.0857454422615924,0.00761106819852922,0.070828022708597,0.100662861814588,"egoXaltX_gender_m_sd","model_1","Summary",1.9339231980976e-29,0.000473835860154605,0.00524076381902748,17,"REML"
0.0366935054031449,0.00620091514085141,0.024539935055887,0.0488470757504028,"egoXaltX_gender_m_sd","model_2","Summary",3.27003229353776e-09,0.000172789087778934,0.140103881080894,17,"REML"
0.0437938144427022,0.00632593530581587,0.0313952090747728,0.0561924198106317,"egoXaltX_gender_m_sd","model_3","Summary",4.42491665505095e-12,0.000251703698662034,0.044063009346815,17,"REML"
0.0657163649635257,0.00733149637225854,0.0513468961211129,0.0800858338059385,"egoXaltX_gender_m_sd","model_4","Summary",3.1433911018193e-19,0.000430006750521901,0.00670904278006422,17,"REML"
7.41096947681897e-05,0.000270476280683413,-0.000456014074043646,0.000604233463580025,"egoXaltX_gender_m_sd","model_5","Summary",0.784086912095286,4.94411620147834e-07,0.8440860127034,17,"REML"
