"effect","condition","descriptive","descriptive_min","descriptive_max","n_classes"
"altX_gender_m_fd","alter is male",0.00250594249805952,-0.104312668463612,0.109547680894095,17
"egoX_gender_m_fd","ego is male",-0.00561985250540268,-0.0943043884220355,0.076140350877193,17
"egoXaltX_gender_m_sd","both male",0.177031392571092,0.0329626155701461,0.339319428211813,17
"recip_fd","j nominates i at t1",0.46182441131379,0.340694702388614,0.577421539850982,17
"transTrip1_fd","one more two-path at t1",0.168540713911452,0.101410988015232,0.248055282588914,17
"X_primary","primary-school friend",0.341911324587141,0.142918606015567,0.591512915129151,17
