"est","se","ci_low","ci_high","effect","model","class_id","pval","tau2","QEp","k","method","context"
0.134007073082325,0.00990603876300737,0.114591593877373,0.153422552287277,"recip_fd","model_0","Summary",1.07159714249923e-41,0.000556270951129573,0.0669705352720104,17,"REML","maintenance"
0.11765298238218,0.00854433198199872,0.100906399425509,0.134399565338851,"recip_fd","model_2","Summary",3.87761003232425e-43,2.88904120291824e-05,0.307528771833072,17,"REML","maintenance"
0.104346743200293,0.0128817349895322,0.0790990065624204,0.129594479838165,"recip_fd","model_3","Summary",5.47949595620113e-16,0.00170833312242455,0.000480581625040331,17,"REML","maintenance"
0.125132530291281,0.0148757778903743,0.0959765413841297,0.154288519198431,"recip_fd","model_4","Summary",4.03659055332602e-17,0.00270206884616663,2.20105187105359e-07,17,"REML","maintenance"
0.0235381206959738,0.00749108682203687,0.00885586031971896,0.0382203810722287,"transTrip1_fd","model_0","Summary",0.00167711920676476,0.000654278041167075,6.43962044644107e-09,17,"REML","maintenance"
0.0244661806192153,0.00607761633366929,0.0125542714933711,0.0363780897450595,"transTrip1_fd","model_2","Summary",5.68251238629476e-05,0.000289145152889229,0.00385669634559007,17,"REML","maintenance"
0.0286425588992025,0.00568663965290919,0.0174969499864431,0.0397881678119619,"transTrip1_fd","model_3","Summary",4.73338819001749e-07,0.000269709529816784,0.00266456980537798,17,"REML","maintenance"
-0.0698647763943356,0.00822880117853606,-0.0859929303402071,-0.0537366224484642,"interaction_sd","model_0","Summary",2.06150544160845e-17,0.000261359842526242,0.0884024606099048,17,"REML","maintenance"
-0.0732714149738203,0.00885496563462689,-0.0906268287020288,-0.0559160012456117,"interaction_sd","model_2","Summary",1.28873352421311e-16,0,0.631905582090962,17,"REML","maintenance"
0.0769477759860709,0.0100870714519633,0.0571774792307408,0.0967180727414011,"X_primary","model_1","Summary",2.37765503959468e-14,0.000816532750675334,0.00865860245236958,17,"REML","maintenance"
0.0617452670975993,0.0109708602138485,0.0402427761990328,0.0832477579961659,"X_primary","model_2","Summary",1.82189212092673e-08,0.000875730306249722,0.0146353058794534,17,"REML","maintenance"
0.0685830054215879,0.00868207259835469,0.0515664558176506,0.0855995550255251,"X_primary","model_3","Summary",2.80290311126138e-15,0.000463336191717716,0.0350270187190253,17,"REML","maintenance"
0.0689661691727514,0.00845261584051222,0.0523993465501947,0.0855329917953081,"X_primary","model_4","Summary",3.37387584462162e-16,0.000487950878845908,0.0247386219831601,17,"REML","maintenance"
0.0682561659255632,0.00934235318053196,0.0499454901608673,0.086566841690259,"X_primary","model_5","Summary",2.75007681099147e-13,0.000706688953131435,0.00710515081225754,17,"REML","maintenance"
-0.00832251682807609,0.0123185542406182,-0.0324664394812909,0.0158214058251387,"egoX_gender_m_fd","model_1","Summary",0.499289404474621,0.00173918154852548,1.06465780474667e-06,17,"REML","maintenance"
-0.00715179181112748,0.01253351117549,-0.0317170223149182,0.0174134386926633,"egoX_gender_m_fd","model_2","Summary",0.568261604096869,0.00173837385508009,2.53303225236292e-06,17,"REML","maintenance"
-0.0106321525634273,0.0114316658363942,-0.0330378058860568,0.0117735007592023,"egoX_gender_m_fd","model_3","Summary",0.352339230044614,0.00139752752849995,1.77906720684008e-05,17,"REML","maintenance"
-0.00774365220856002,0.0116041085933656,-0.0304872871242483,0.0149999827071283,"egoX_gender_m_fd","model_4","Summary",0.504567838592832,0.00158980385087894,1.29107845910055e-07,17,"REML","maintenance"
-0.0069863781224172,0.0129259561014641,-0.0323207865470327,0.0183480303021983,"egoX_gender_m_fd","model_5","Summary",0.588857656203155,0.00201679641706596,1.30919202970511e-07,17,"REML","maintenance"
-0.0131436518185774,0.018817231153615,-0.050024747168428,0.0237374435312732,"altX_gender_m_fd","model_1","Summary",0.484870675628831,0.00287644029345869,0.000504186942387684,17,"REML","maintenance"
-0.0200444778742557,0.01857245501145,-0.0564458208011882,0.0163568650526768,"altX_gender_m_fd","model_2","Summary",0.280472557031551,0.00285338634686174,0.00134750173351631,17,"REML","maintenance"
-0.012277590643965,0.0181050324974098,-0.0477628022778155,0.0232076209898855,"altX_gender_m_fd","model_3","Summary",0.497688396924047,0.00277645736222337,0.000339155680265823,17,"REML","maintenance"
-0.0170502720240916,0.0184210323499314,-0.0531548319880044,0.0190542879398211,"altX_gender_m_fd","model_4","Summary",0.354660540250755,0.002881436956928,0.00027675483459263,17,"REML","maintenance"
-0.00788386142683703,0.0105161567683059,-0.0284951499484937,0.0127274270948197,"altX_gender_m_fd","model_5","Summary",0.453441210591432,0.000926081137630414,0.00150099192203877,17,"REML","maintenance"
0.189946443930715,0.0389378338545045,0.113629691939882,0.266263195921548,"egoXaltX_gender_m_sd","model_1","Summary",1.0705969555753e-06,0.0135801533264864,1.66966676636891e-05,15,"REML","maintenance"
0.0961091840881086,0.0374403205082405,0.0227275043223209,0.169490863853896,"egoXaltX_gender_m_sd","model_2","Summary",0.0102583549991021,0.0115973094402174,2.37210189037918e-05,15,"REML","maintenance"
0.122066573066918,0.0383213040844093,0.0469581972208682,0.197174948912968,"egoXaltX_gender_m_sd","model_3","Summary",0.0014458154851973,0.0135662158868111,1.16744331186792e-06,15,"REML","maintenance"
0.152690946876651,0.0327483733787509,0.0885053145020284,0.216876579251273,"egoXaltX_gender_m_sd","model_4","Summary",3.1231431275614e-06,0.00899274733118157,4.26835619476928e-05,15,"REML","maintenance"
-0.0178025717417833,0.0231723259052062,-0.0632194959540121,0.0276143524704454,"egoXaltX_gender_m_sd","model_5","Summary",0.442327590555521,0.0071029752972828,5.12422118105766e-21,15,"REML","maintenance"
0.077116546506818,0.0078041092778089,0.0618207733908977,0.0924123196227383,"recip_fd","model_0","Summary",5.00621982112557e-23,0.000321406967386833,0.129267370189025,17,"REML","creation"
0.0846379874395939,0.00694920396357378,0.0710177979497663,0.0982581769294215,"recip_fd","model_2","Summary",3.99613590980537e-34,0,0.461147456326979,17,"REML","creation"
0.0687462885713722,0.00592638220806916,0.0571307928849377,0.0803617842578067,"recip_fd","model_3","Summary",4.11871148445875e-31,0.000231231385618144,0.0462424221877998,17,"REML","creation"
0.0753718722091855,0.0067554347700874,0.0621314633599045,0.0886122810584664,"recip_fd","model_4","Summary",6.6023924486773e-29,0.000344462243493565,0.0124263266566131,17,"REML","creation"
0.0201090818530582,0.0020583791101789,0.016074732930578,0.0241434307755385,"transTrip1_fd","model_0","Summary",1.52385990315841e-22,4.55393835362372e-05,1.02496024637291e-05,17,"REML","creation"
0.0252220748395194,0.00251330404774182,0.0202960894237467,0.0301480602552921,"transTrip1_fd","model_2","Summary",1.06499529506568e-23,6.4923861409052e-05,3.10708860210128e-06,17,"REML","creation"
0.0240659238992569,0.00246448763010486,0.0192356169039069,0.0288962308946069,"transTrip1_fd","model_3","Summary",1.58983279143846e-22,7.41063775937019e-05,2.18852869718836e-08,17,"REML","creation"
0.00321029888881849,0.00603206808097804,-0.0086123373021921,0.0150329350798291,"interaction_sd","model_0","Summary",0.594583779736825,0,0.981830349362843,17,"REML","creation"
0.00354299388454279,0.00681018592130309,-0.00980472524923299,0.0168907130183186,"interaction_sd","model_2","Summary",0.602889886717408,0,0.831111840587414,17,"REML","creation"
0.027927446269084,0.00636283433541894,0.015456520132068,0.0403983724061,"X_primary","model_1","Summary",1.13793579553787e-05,0.000368686873601413,9.80097198387971e-05,17,"REML","creation"
0.0403421408325929,0.00942214988968469,0.0218750663918729,0.0588092152733129,"X_primary","model_2","Summary",1.85530948820545e-05,0.000960111942434267,2.10003421150572e-07,17,"REML","creation"
0.0298539634157872,0.00670873150585983,0.0167050912823528,0.0430028355492217,"X_primary","model_3","Summary",8.58638401061315e-06,0.000451426686461209,8.74054092204301e-06,17,"REML","creation"
0.0311149808609417,0.0075841659726627,0.0162502887017486,0.0459796730201348,"X_primary","model_4","Summary",4.0849091172008e-05,0.000610000109079201,2.06049630967675e-10,17,"REML","creation"
0.0268604045270394,0.00644956889240748,0.0142194817821109,0.039501327271968,"X_primary","model_5","Summary",3.11786604533659e-05,0.000393871589053874,4.62845189706766e-05,17,"REML","creation"
-0.00123731265337796,0.00190298356186355,-0.00496709189780227,0.00249246659104636,"egoX_gender_m_fd","model_1","Summary",0.515565504573794,4.55350407627214e-05,1.19077157111933e-07,17,"REML","creation"
-0.00090573080134637,0.00135717319442645,-0.00356574138320539,0.00175427978051265,"egoX_gender_m_fd","model_2","Summary",0.504538587250349,1.44977181158325e-05,0.0142535361171623,17,"REML","creation"
-0.0011773296097361,0.00140897800640855,-0.00393887575730589,0.0015842165378337,"egoX_gender_m_fd","model_3","Summary",0.40338492640751,1.85030562498746e-05,0.00276315130423628,17,"REML","creation"
-0.00135903914423769,0.00179729571714443,-0.00488167401940885,0.00216359573093348,"egoX_gender_m_fd","model_4","Summary",0.449554601195083,4.07375307523252e-05,8.79604042164558e-08,17,"REML","creation"
-0.00134286620476009,0.00189445540249323,-0.00505593056396414,0.00237019815444397,"egoX_gender_m_fd","model_5","Summary",0.478423628937813,4.54405640192693e-05,5.1596898885553e-08,17,"REML","creation"
0.000141670622263783,0.00302527601898139,-0.00578776141823246,0.00607110266276003,"altX_gender_m_fd","model_1","Summary",0.962649523213853,0.000112222348372597,2.01881231712283e-08,17,"REML","creation"
0.000561432993997823,0.00205645493535613,-0.00346914461512984,0.00459201060312548,"altX_gender_m_fd","model_2","Summary",0.784845441837898,3.04453657618444e-05,0.0272539378912037,17,"REML","creation"
0.00101241648375103,0.00214568291715727,-0.00319304475612007,0.00521787772362212,"altX_gender_m_fd","model_3","Summary",0.637041843679696,4.09451491581015e-05,0.00299436446019261,17,"REML","creation"
0.000691024844919302,0.00274642013992267,-0.00469185971574458,0.00607390940558319,"altX_gender_m_fd","model_4","Summary",0.8013430706134,8.74524969367933e-05,8.87286590827387e-07,17,"REML","creation"
0.00109352047324736,0.00277020760932003,-0.00433598667071869,0.00652302761721342,"altX_gender_m_fd","model_5","Summary",0.693032455555747,8.6345200759266e-05,5.09605933520113e-06,17,"REML","creation"
0.0632870192983063,0.00624811700472438,0.0510409349978543,0.0755331035987584,"egoXaltX_gender_m_sd","model_1","Summary",4.10935475359055e-24,0.000470754445496094,2.1414752080267e-06,17,"REML","creation"
0.0616609462804778,0.00489761642062877,0.0520617944859534,0.0712600980750022,"egoXaltX_gender_m_sd","model_2","Summary",2.39700933562494e-36,0.00016888818653836,0.0222980378870734,17,"REML","creation"
